lon,lat,object_id,mat_type,mat_tech,mat_prop,llrs,llrs_duct,height,height_1,yr_built,occupy,occupy_dt,str_irreg,str_irreg_dt,str_irreg_type,roof_shape,roofcovmat,roofsysmat,roofsystyp,roof_conn,floor_mat,floor_type,floor_conn,position,plan_shape
7.89934458052161,48.8924011104582,31077,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BPD,PLFR
7.89906065732219,48.8924225695489,31088,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BPD,PLFR
7.8991485293908,48.8916568761449,31120,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFR
7.89954446942653,48.8914119244454,31124,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRIR,IRPP,TOR,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFL
7.90139412631446,48.8921063893323,31163,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BP2,PLFR
7.9007616722811,48.8928656656814,31187,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFR
7.90075071698744,48.8933062172958,31199,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFR
7.87634202874966,48.9017332541362,31208,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP1,PLFR
7.87680428302987,48.9014609799961,31233,MUR,CLBRS,MOCL,LO,DU99,H,1.0,YAPP,AGR,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP2,PLFR
7.87718155073617,48.9014997050007,31245,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,VAC,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FN,FT99,FWC99,BPD,PLFR
